state_name,city_code,city_name
PB,58,"DERA BABA NANAK, PB"
PB,59,"DHURI, PB"
PB,60,"GIDDERBAHA, PB"
PB,61,"JALALABAD, PB"
PB,62,"JAITU, PB"
PB,63,"KHADOOR SAHIB, PB"
PB,64,"MOONAK, PB"
PB,65,"SASNAGAR, PB"
PB,66,"NIHAL SINGH WALA, PB"
PB,67,"SHAHKOT, PB"
PB,68,"DHAR KALAN, PB"
PB,69,"BAGHAPURANA, PB"
PB,70,"DERABASSI, PB"
PB,71,"CHAMKAUR SAHIB, PB"
PB,72,"PATRAN, PB"
PB,73,"TAPA, PB"
PB,74,"NANGAL, PB"
RJ,1," AJMER, RJ"
RJ,2," ALWAR, RJ"
RJ,3," BANSWARA, RJ"
RJ,4," BARMER, RJ"
RJ,5," BHARATPUR, RJ"
RJ,6," BHILWARA, RJ"
RJ,7," BIKANER, RJ"
RJ,8," BUNDI, RJ"
RJ,9," CHITTORGARH, RJ"
RJ,10," CHURU, RJ"
RJ,10A,"RAJGARH, RJ"
RJ,11," DHOLPUR, RJ"
RJ,12," DUNGARPUR, RJ"
RJ,13," SRI-GANGANAGAR, RJ"
RJ,13A,"SURATGARH, RJ"
RJ,14," JAIPUR, RJ"
RJ,15," JAISALMER, RJ"
RJ,15A,"POKRAN, RJ"
RJ,16," JALORE, RJ"
RJ,16B,"SANCHOR, RJ"
RJ,17," JHALAWAR, RJ"
RJ,18," JHUNJHUNU, RJ"
RJ,18A,"KHETRI, RJ"
RJ,19," JODHPUR, RJ"
RJ,19A,"PIPAD CITY, RJ"
RJ,19B,"FALODI, RJ"
RJ,20," KOTA, RJ"
RJ,21," NAGAUR, RJ"
RJ,21A,"MAKRANA, RJ"
RJ,21B,"MEDTACITY, RJ"
RJ,22," PALI, RJ"
RJ,22A,"SUMERPUR, RJ"
RJ,22B,"SOJAT, RJ"
RJ,23," SIKAR, RJ"
RJ,23A,"RINGUS, RJ"
RJ,23B,"NEEMKATHANA, RJ"
RJ,24," SIROHI, RJ"
RJ,25," SWAIMADHOPUR, RJ"
BR,31," VAISHALI, BR"
BR,32," MADHUBANI, BR"
BR,33," SAMASTIPUR, BR"
BR,34," KHAGARIA, BR"
BR,37," KISHANGANJ, BR"
BR,38," ARAREA, BR"
BR,39," KATIHAR, BR"
BR,43," MADHEPURA, BR"
BR,44," BUXUR, BR"
BR,45," BHABHUA, BR"
BR,46," JAUMUI, BR"
BR,50," SUPAUL, BR"
BR,51," BANKA, BR"
BR,52," SHEIKHPURA, BR"
BR,53," LAKHISARAI, BR"
BR,55," SHEOHAR, BR"
BR,56," ARAWAL, BR"
RJ,25A,"GANGAPURCITY, RJ"
RJ,26," TONK, RJ"
RJ,26A,"NIWAI, RJ"
RJ,26B,"UNIARA, RJ"
RJ,27," UDAIPUR, RJ"
RJ,27A,"SALUMBAR, RJ"
RJ,28," BARAN, RJ"
RJ,29," DAUSA, RJ"
RJ,30," RAJSAMAND, RJ"
RJ,30A,"NATHDWARA, RJ"
RJ,30B,"BHIM, RJ"
RJ,31," HANUMANGARH, RJ"
RJ,32," KOTPUTALI, RJ"
RJ,33," RAMGANJMANDI, RJ"
RJ,34," KAROLI, RJ"
RJ,34A,"HINDON, RJ"
RJ,35," PRATAPGARH, RJ"
RJ,36," BEAWAR, RJ"
RJ,37," DIDWANA, RJ"
RJ,37A,"NAVA, RJ"
RJ,38," ABU ROAD, RJ"
RJ,39," BALOTRA, RJ"
RJ,40," BHIWADI, RJ"
RJ,41," CHOMU, RJ"
RJ,42," KISHANGARH, RJ"
RJ,43," FALODI, RJ"
RJ,44," SUJANGARH, RJ"
RJ,45," JAIPUR, RJ"
RJ,46," BHINMAL, RJ"
RJ,47," DUDU, RJ"
RJ,48," KEKRI, RJ"
RJ,49," NOHAR, RJ"
RJ,50," NOKHA, RJ"
RJ,51," SHAHPURA, BHILWARA, RJ"
RJ,52," SHAHPURA, JAIPUR, RJ"
SK,1,"EAST SIKKIM, SK"
SK,2,"WEST SIKKIM, SK"
SK,3,"NORTH SIKKIM, SK"
SK,4,"SOUTH SIKKIM, SK"
TN,1,"CHENNAI , TN"
TN,2,"CHENNAI,, TN"
TN,3,"CHENNAI,, TN"
TN,4,"CHENNAI,, TN"
TN,5,"CHENNAI, TN"
TN,6,"CHENNAI, TN"
TN,7,"CHENNAI,, TN"
TN,9,"CHENNAI,, TN"
TN,10,"CHENNAI, TN"
TN,11,"OFFICE,TAMBARAM,, TN"
TN,12," POONAMALEE,, TN"
TN,13," AMBATTUR, TN"
TN,14,"SHOLINGANALLUR,, TN"
TN,15,"ULUNDURPET,, TN"
TN,15Z,"KALLAKURICHI, TN"
TN,16,"OFFICE,TINDIVANAM,, TN"
TN,16Z," , GINGEE, TN"
TN,18,"REDHILLS, TN"
TN,18Y,", GUMIDIPOONDI, TN"
TN,19," CHENGALPATTU, TN"
TN,19Z,", MADURANTAGAM,, TN"
TN,20,"THIRUVALLUR, TN"
TN,20X,", TIRUTHANI, TN"
TN,21," KANCHEEPURAM, TN"
TN,21W,"SRIPERUMBUDUR, TN"
TN,22," MEENAMBAKKAM, TN"
TN,23," VELLORE, TN"
TN,23T,",GUDIYATHAM,, TN"
TN,24," KRISHNAGIRI, TN"
TN,25," TIRUVANAMALAI, TN"
TN,25Y," , CHEYYAR      , TN"
TN,25Z,", ARANI,, TN"
TN,28," NAMAKKAL, TN"
TN,28Z,",RASIPURAM,, TN"
TN,29," DHARMAPURI, TN"
TN,29T,",HARUR,, TN"
TN,29W,"PALACODE, TN"
TN,30," (SALEM -WEST), TN"
TN,30W,",OMALUR,, TN"
TN,31," CUDALORE, TN"
TN,31Z," PANRUTI, TN"
TN,32,"VILLUPURAM, TN"
TN,33,"ERODE, TN"
TN,34," TIRUCHENCODE, TN"
TN,36," COBICHETTIPALAYAM, TN"
TN,36W,",BHAVANI,, TN"
TN,36Z,",SATHIAMANGALAM,, TN"
TN,37," COIMBATORE, TN"
TN,37Z,"SULUR, TN"
TN,38,"COIMBATORE, TN"
TN,39," TIRUPUR, TN"
TN,39Z,"AVINASHI, TN"
TN,40," METTUPALAYAM, TN"
TN,41," POLLACHI, TN"
TN,41W,", VALPARAI, TN"
TN,42," TIRUPUR, TN"
TN,42Y,"KANGAYAM, TN"
TN,43," OOTY, TN"
TN,43Z,", GUDALUR,, TN"
TN,45,"TIRUCHIRAPPALLI, TN"
TN,45Z,", MANAPARAI,, TN"
TN,46," PERAMBALUR, TN"
TN,47," KARUR, TN"
TN,47Y,", ARAVAKURICHI, TN"
TN,47Z,", KULITHALAI,, TN"
TN,48," SRIRANGAM, TN"
TN,48X,", LALKUDI, TN"
TN,48Y,"MUSURI, TN"
TN,48Z,", THURAIYUR,, TN"
TN,49,"TANJAVUR, TN"
TN,49Y,", PATTUKOTTAI, TN"
TN,50," TIRUVARUR, TN"
TN,50Z,", MANNARKUDI,, TN"
TN,51," NAGAPATTINAM, TN"
TN,52," SANGAGIRI, TN"
TN,52Z,", METTUR,, TN"
TN,54,"SALEM, TN"
TN,55," PUDUKOTTAI, TN"
TN,55Y,", ILLUPPUR, TN"
TN,55Z,", ARANTHANGI,, TN"
TN,56," PERUNDURAI, TN"
TN,57," DINDIGUL, TN"
TN,57R,", ODDANCHATRAM, TN"
TN,57V,"VEDASANDUR, TN"
TN,57W,"BATLAGUNDU, TN"
TN,57Z,", PALANI,, TN"
TN,58," MADURAI, TN"
DL,1,Delhi
DL,10,Delhi
DL,11,Delhi
DL,12,Delhi
DL,13,Delhi
DL,2,Delhi
DL,3,Delhi
DL,4,Delhi
DL,5,Delhi
DL,6,Delhi
DL,7,Delhi
DL,8,Delhi
DL,9,Delhi
GA,3,"MAPUSA, GA"
GA,4,"BICHOLIM, GA"
GA,5,"PONDA, GA"
GA,6,"VASCO, GA"
GA,7,"PANAJI, GA"
GA,8,"MARGAO, GA"
GA,9,"QUEPEM, GA"
GA,10,"CANACONA, GA"
GA,11,"PERNEM, GA"
GA,12,"DHARBANDORA, GA"
GJ,1,"AHMEDABAD, GJ"
GJ,2,"PALAVASANA, GJ"
GJ,3,"PORBANDAR HIGHWAY, GJ"
GJ,4,"BHAVNAGAR, GJ"
GJ,5,"SURAT, GJ"
GJ,6,"VADODARA, GJ"
GJ,7,"NADIAD, GJ"
GJ,8,"BANASKANTHA, GJ"
GJ,9,"SABARKANTHA, GJ"
GJ,10,"JAMNAGAR, GJ"
GJ,11,"JUNAGADH, GJ"
GJ,12,"BHUJ-KACHCHH, GJ"
GJ,13,"SURENDRANGAR, GJ"
GJ,14,"AMRELI, GJ"
GJ,15,"VALSAD, GJ"
GJ,16,"BHARUCH, GJ"
GJ,17,"GODHRA, GJ"
GJ,18,"GANDHINAGAR, GJ"
GJ,19,"BARDOLI, GJ"
GJ,20,"DAHOD, GJ"
